UserID,FirstName,LastName,email,RoleID,PaperAssigned
64,Patricia,Diaz,DiazP@weyerhaeuser.com,1,0
89,Roger,Harden,Roger.Harden@kla-tencor.com,2,0
112,Sabrina,Hundley,SHundley@juniper.net,2,0
34,Russell,Bobb,RBobb@juniper.net,2,0
52,Edward,Coffey,EdwardCoffey@micron.com,2,0
56,Teresa,Cothern,Teresa_Cothern@delmonte.com,2,0
62,Daren,Demetris,DDemetris@ebay.com,2,0
141,Glenn,Luther,LutherG@spansion.com,2,0
152,James,Miller,JamesMiller@symantec.com,2,0
192,Carole,Rohrer,CaroleRohrer@igt.com,2,0
216,James,Sullivan,James.Sullivan@chevron.com,2,0
227,Mark,Tu,TuM@sanmina-sci.com,2,0
233,Kenneth,Vasquez,KennethVasquez@portlandgeneral.com,2,0
67,Malorie,Dowker,DowkerM@national.com,4,0
79,Palmer,Gally,Palmer_Gally@cisco.com,4,0
81,Emmett,Godyn,Emmett.Godyn@safeway.com,4,0
105,Linda,Holland,Linda.Holland@nikebiz.com,4,0
17,Maria,Allen,Maria.Allen@yahoo.com,4,0
21,Brett,Aronson,BAronson@lithia.com,4,0
29,Richard,Baker,Richard.Baker@mckesson.com,4,0
37,Tony,Brindley,BrindleyT@xilinx.com,4,0
39,Barbara,Brown,BBrown@pugetenergy.com,4,0
130,Mark,Larson,Mark_Larson@symantec.com,4,0
133,Robert,Lewis,RobertLewis@google.com,4,0
151,Ruth,Miles,Ruth.Miles@delmonte.com,4,0
211,Ryan,Starcher,RyanStarcher@delmonte.com,4,0
211,Ryan,Starcher,RyanStarcher@delmonte.com,4,0
186,Steven,Ritter,Steven_Ritter@microsoft.com,4,0
